id,content
0,COL name VAL tplink tl-sg108 8-port gigabit switch COL description VAL tplink 8-port gigabit desktop switch ( unmanaged ) COL price VAL
1,COL name VAL tp-link tl-sg105e gigabit switch COL description VAL 5 x 10/100/1000base-t lan COL price VAL 
2,COL name VAL tp-link tl-sg108 gigabit switch tl-sg108 COL description VAL tp-link sg108 8 port gigabit desktop switch COL price VAL
3,COL name VAL ultra hd premium quality displayport to hdmi adapter cable COL description VAL 1 x displayport 1 x hdmi 6ft black COL price VAL
4,COL name VAL tp-link tl-sg1016d gigabit switch COL description VAL tp-link 16 port 10/100/1000 rackmount switch - tl-sg1016d COL price VAL
5,COL name VAL sandisk ultra usb flash drive 256gb COL description VAL sandisk ultra 256gb usb 3.0 flash drive COL price VAL
6,COL name VAL epson xp 15000 ink tank refill kit 1234b567 COL description VAL 50 page 5 ' x 7 ' COL price VAL 29.99
7,"COL name VAL logitech mx master wireless mouse 92348 COL description VAL wireless bluetooth , usb COL price VAL 89.99"
8,COL name VAL tp-link tl-sg108 ethernet switch COL description VAL 8 x 10/100/1000 Mbps LAN COL price VAL 
9,COL name VAL netgear prosafe gs724t ethernet switch COL description VAL 24 x 10/100/1000base-t lan COL price VAL 149.99
10,COL name VAL tp-link 10gbps unmanaged switch COL description VAL tp-link 5-port 10g switch for high-speed networks COL price VAL 
11,COL name VAL tp-link ac750 wi-fi range extender COL description VAL 750mbps dual band COL price VAL
12,COL name VAL energizer 800-watt portable inverter COL description VAL input voltage :24 v dc output voltage :120 v ac 800w pure sine wave COL price VAL
13,COL name VAL tp-link tl-sg105 ethernet switch tl-sg105 COL description VAL tp-link 5 port gigabit desktop switch with metal casing COL price VAL
14,COL name VAL amazon basics hdmi cable 1.4 COL description VAL 2 x hdmi 1 x hdmi 50ft blue COL price VAL 9.99
15,COL name VAL thrustmaster t150 racing wheel for ps4 4160672 COL description VAL  COL price VAL
16,COL name VAL anker portable power station 577wh power inverter COL description VAL input voltage :20 v dc output voltage :120 v ac 500w pure sine wave COL price VAL
17,COL name VAL netgear nighthawk wifi range extender x6 COL description VAL 2200mbps COL price VAL
18,COL name VAL dell inspiron laptop and charger sleeve dgl120 COL description VAL inspiron padded laptop & charger sleeve up to 15 in display COL price VAL
19,COL name VAL netgear nighthawk ac1900 wi-fi cable modem router COL description VAL netgear high-performance cable modem router COL price VAL 149.99
20,COL name VAL dell gaming laptop sleeves vgpdm3 COL description VAL hard shell molded COL price VAL 29.99
21,"COL name VAL brother color toner cartridge hl-l3290cdw COL description VAL brother toner cartridge compatible with the hl-l3210 , hl-l3270cdw , hl-l3290cdw and mfc-l3770cdw series COL price VAL"
22,COL name VAL bose companion 2 series iii multimedia speaker system 321201-0405 COL description VAL 2-channel COL price VAL 299.99
23,COL name VAL panasonic standard definition mini dv cassette pv-1000 COL description VAL panasonic ag-dvc30 standard definition minidv videotape COL price VAL
24,COL name VAL tp-link omada eap245 wireless access point 802.11 ac eap245 COL description VAL tp-link omada 802.11 ac wireless access point COL price VAL 
25,COL name VAL tplink archer c7 wireless router COL description VAL 1300mbps COL price VAL
26,"COL name VAL tp-link tl-sg1024 24 port gigabit managed switch tl-sg1024 COL description VAL 24 x 10/100/1000base-t lan , 4 x 10/100/1000base-x COL price VAL "
27,COL name VAL xbox one memory card 32gb COL description VAL COL price VAL
28,COL name VAL microsoft 9-87654-32100-5 xbox 32 gb flash drive 3-pk 12345 COL description VAL  COL price VAL
29,COL name VAL xbox one wireless controller red COL description VAL  COL price VAL
30,COL name VAL xbox series x controller 47829 COL description VAL  COL price VAL
31,COL name VAL sony lithium ion battery for headphones wh-1000 COL description VAL lithium-ion ( li-ion ) 3.7 v dc headphone battery COL price VAL 29.99
