id,content
0,COL name VAL linksys etherfast ezxs88w ethernet switch ezxs88w COL description VAL linksys etherfast 8-port 10/100 switch ( refurbished/workgroup ) COL price VAL
1,COL name VAL linksys etherfast ezxs55w ethernet switch COL description VAL 5 x 10/100base-tx lan COL price VAL 49.99
2,COL name VAL netgear prosafe fs105 ethernet switch fs105na COL description VAL netgear fs105 prosafe 5 port 10/100 desktop switch COL price VAL 49.99
3,COL name VAL belkin pro series high integrity vga/svga monitor extension cable f3h982-10 COL description VAL 1 x hd-15 1 x hd-15 15ft beige COL price VAL
4,COL name VAL netgear prosafe jfs516 ethernet switch COL description VAL netgear prosafe 16 port 10/100 rackmount switch - jfs516eu COL price VAL
5,COL name VAL lacie pocket floppy disk drive 706018 COL description VAL lacie pocket usb floppy 1.44 mb (updated version) COL price VAL
6,COL name VAL canon kp 36ip print cartridge paper kit 7737a001 COL description VAL 36 page 5 ' x 7 ' COL price VAL 10.49
7,"COL name VAL kensington orbit optical trackball usb w/ps2 adapter 64327 COL description VAL optical usb , ps/2 - enhanced COL price VAL 29.99"
8,COL name VAL linksys etherfast ef4116 ethernet switch COL description VAL 16 x 10/100BASE-TX LAN COL price VAL $49.99
9,COL name VAL linksys etherfast ef4124 ethernet switch COL description VAL 24 x 10/100base-tx lan COL price VAL 59.99
10,COL name VAL linksys instant gigabit eg005w ethernet switch COL description VAL linksys eg005w gigabit 5-port workgroup switch COL price VAL 49.99
11,COL name VAL linksys g wireless-g wet54g wireless bridge COL description VAL 54mbps 1 x 10/100base-tx COL price VAL 49.99
12,COL name VAL tripp lite powerverter 375-watt ultra-compact inverter pv375 COL description VAL input voltage :12 v dc output voltage :120 v ac 400w pulse-width modulated sine wave COL price VAL
13,COL name VAL netgear prosafe gs105 ethernet switch gs105na COL description VAL netgear prosafe 5 port gigabit desktop switch with improved cooling COL price VAL
14,COL name VAL belkin monitor cable f3h982-25 COL description VAL 1 x hd-15 1 x hd-15 25ft blue COL price VAL 15.98
15,COL name VAL logitech driving force pro for playstation 2 963293-0403 COL description VAL high-performance racing wheel COL price VAL 89.99
16,COL name VAL belkin ac anywhere 300w power inverter f5c400-300w COL description VAL input voltage :12 v dc output voltage :110 v ac 350w stepped sine wave COL price VAL
17,COL name VAL linksys wireless-g range expander wireless bridge wre54g COL description VAL 54mbps with extended range COL price VAL 49.99
18,COL name VAL sony vaio notebook and ac adapter case vgpamc2 COL description VAL vaio neoprene notebook & ac adapter case for 17 in lcd COL price VAL 
19,COL name VAL d-link express ethernetwork high-speed docsis 2.0 cable modem dcm-202 COL description VAL d-link high-speed cable modem COL price VAL $49.99
20,COL name VAL sony notebook and ac adapter cases vgpamc3 COL description VAL slim fit neoprene COL price VAL 13.49
21,"COL name VAL panasonic black toner cartridge kx-fa83 COL description VAL panasonic toner cartridge for the kx-fl511 , kx-fl541 , kx-fl611 and kx-flm651 series COL price VAL 49.99"
22,COL name VAL logitech z-2300 multimedia speaker system 970118-0403 COL description VAL 2.1-channel surround COL price VAL
23,"COL name VAL sony high definition mini dv cassette dsl-190-b COL description VAL sony dvm-63 hd high-definition minidv videocassette, 63 minutes COL price VAL"
24,COL name VAL netgear prosafe wg102 wireless access point 802.11 g wg102na COL description VAL netgear prosafe 802.11 g wireless access point - updated model COL price VAL $79.99
25,COL name VAL netgear rangemax wpn802 wireless access point wpn802na COL description VAL 150mbps COL price VAL
26,"COL name VAL netgear prosafe fs726tp 24 port 10/100 smart switch fs726tpna COL description VAL 24 x 10/100base-tx lan , 2 x 10/100/1000base-t COL price VAL 199.99"
27,COL name VAL playstation 2 memory card 8mb COL description VAL High capacity memory option for your games COL price VAL $19.99
28,COL name VAL sony 7-11719-70670-0 ps2 8 mb memory card 2-pk 97068 COL description VAL  COL price VAL
29,COL name VAL playstation 2 dualshock analog controller green COL description VAL Enhanced grip design COL price VAL 19.99
30,COL name VAL playstation 2 dvd remote 97076 COL description VAL Universal compatibility for various consoles COL price VAL 29.99
31,COL name VAL sennheiser nickel metal hydride battery for headsets ba-151 COL description VAL nickel-metal hydride ( nimh ) 2.4 v dc headset battery COL price VAL 15.99
32,COL name VAL sony minidv head cleaner dvm12cld COL description VAL head cleaner for premium performance COL price VAL 8.50
33,"COL name VAL sony sb-v40s a/v selector sbv40s COL description VAL vcr , camcorder , av receiver , video game console , tv , laser disc player , dvd player compatible 4 x s-video in , 4 x composite video in , 4 x stereo audio line in , 1 x s-video out , 1 x composite video out , 1 x stereo a COL price VAL 59.99"
34,COL name VAL panasonic kx-ts108w corded phone COL description VAL 1 x phone line ( s ) white COL price VAL 49.99
35,COL name VAL panasonic kx-ts208w corded phone COL description VAL 2 x phone line ( s ) headset white COL price VAL 49.99
36,COL name VAL garmin canvas deluxe carry case 010-10231-01 COL description VAL top loading handle nylon blue COL price VAL 19.99
37,COL name VAL sony h.ear stereo earphones mdrj10/blue COL description VAL - blue and comfortable COL price VAL 12.99
38,COL name VAL belkin pro series usb device cable 16 f3u133-16 COL description VAL  COL price VAL 11.99
39,COL name VAL omnimount universal wall speaker mounting kit 20.0 wall-b COL description VAL stainless steel 25 lb COL price VAL 26.99
40,COL name VAL omnimount stainless steel speaker mount 20.0 wall-w COL description VAL stainless steel 25 lb COL price VAL
41,COL name VAL sanus euro foundation series iii speaker stand efsatsiii COL description VAL steel silver premium COL price VAL 199.99
42,COL name VAL peerless adjustable tv wall mount pm1327 COL description VAL Mounting system with improved stability COL price VAL 149.99
43,COL name VAL sanus euro foundation series iii speaker stand efsatbkiii COL description VAL steel black COL price VAL 149.99
44,COL name VAL panasonic kx-tca86 headset COL description VAL over-the-ear COL price VAL 11.99
45,COL name VAL sony vct-r640 tripod vctr640 COL description VAL floor standing tripod 21.62 ' to 56.75 ' height 6.61 lb load capacity black COL price VAL 49.99
46,COL name VAL sanus flat panel tv wall mount vmf COL description VAL steel 55 lb COL price VAL
47,COL name VAL sanus speaker mount wms3b black COL description VAL plastic 9 lb COL price VAL
48,COL name VAL sanus wall/ceiling speaker mount wms3s silver COL description VAL plastic 9 lb COL price VAL
49,COL name VAL sony mini dvd-r media 3dmr30l1h COL description VAL 1.4 gb 5 pack COL price VAL 7.49
50,COL name VAL panasonic kx-ts3282b corded phone COL description VAL 2 x phone line ( s ) headset white COL price VAL
51,COL name VAL sennheiser rs 120 wireless hi-fi headphone rs120 COL description VAL Updated version COL price VAL 
52,COL name VAL sanus flat panel tv wall mount vmpl50-b COL description VAL steel 135 lb COL price VAL
53,COL name VAL sony ps-lx350h belt-drive turntable COL description VAL high-fidelity audio playback COL price VAL 299.99
54,COL name VAL sony str-de197 av receiver 100 watts per channel COL description VAL updated model with enhanced features COL price VAL 129.99
55,COL name VAL sanus television turntable tv/lcds COL description VAL 160 lb COL price VAL
56,COL name VAL panasonic kx-tca92 headset COL description VAL over-the-ear COL price VAL 19.99
57,COL name VAL panasonic kx-tsc14b corded telephone COL description VAL 2 x phone line ( s ) headset blue COL price VAL
58,COL name VAL sony cdp-cx355 300 disc megastorage cd changer COL description VAL upgraded model with enhanced features COL price VAL 179.99
59,COL name VAL sanus flat panel tv wall mount vm1b COL description VAL aluminum 55 lb COL price VAL 74.99
60,COL name VAL canon nb-2lh battery pack 9612a001 COL description VAL lithium ion ( li-ion ) photo battery (updated) COL price VAL 39.99
61,COL name VAL olympus b-90su aa/aaa size battery charger 200899 COL description VAL Compact and lightweight design for easy portability COL price VAL 19.99
62,COL name VAL sony cdx-565mxrf 10-disc cd/mp3 changer COL description VAL latest model with enhanced features COL price VAL 139.99
63,COL name VAL omnimount tv top shelf mount COL description VAL omnimount cch1b updated set-top center-channel shelf COL price VAL 22.99
64,COL name VAL canon nb-4l rechargeable camera battery 9763a001 COL description VAL canon nb-4l lithium ion rechargeable battery COL price VAL 38.99
65,COL name VAL panasonic 3x dvd-ram media COL description VAL panasonic lm-af120lu5 rewritable dvd-ram disc without cartridge COL price VAL 9.99
66,COL name VAL canon cb-2lv battery charger 9764a001 COL description VAL for nb-4l - updated version COL price VAL 29.99
67,COL name VAL canon ef-s 17-85mm f/4 -5.6 is usm standard zoom lens COL description VAL canon 9517a002 ef-s 17-85mm f4-5 .6 is usm standard zoom lens with enhanced optical image stabilizer COL price VAL 499.0
68,"COL name VAL sennheiser rs 140 wireless rf headphone rs-140 COL description VAL - black , silver COL price VAL 149.99"
