id,content
0,COL title VAL mastering quickbooks 2021 COL manufacturer VAL microsoft COL price VAL 59.99
1,COL title VAL thrilling adventures in storytelling ! COL manufacturer VAL imaginative tales inc. ! COL price VAL 15.99
2,COL title VAL advanced software COL manufacturer VAL microsoft COL price VAL 999.99
3,COL title VAL science explorations : the thrilling journey ( grades 6-8 ) COL manufacturer VAL  COL price VAL 24.99
4,COL title VAL graphic design software COL manufacturer VAL corel COL price VAL 499.99
5,COL title VAL photo editing suite COL manufacturer VAL adobe systems COL price VAL 249.99
6,COL title VAL revo edit 7 COL manufacturer VAL adobe COL price VAL 299.99
7,COL title VAL advanced analytics suite COL manufacturer VAL oracle COL price VAL 2450.75
8,COL title VAL qb payment processor 4.5 COL manufacturer VAL square COL price VAL 39.99
9,COL title VAL london documentary blu-ray +12 plat COL manufacturer VAL universal pictures COL price VAL 49.99
10,COL title VAL advanced analytics suite COL manufacturer VAL microsoft COL price VAL 2899.99
11,COL title VAL cosmic awakening COL manufacturer VAL Stellar Innovations COL price VAL 49.99
12,COL title VAL shadowquest : console cartridge video game COL manufacturer VAL  COL price VAL 59.99
13,COL title VAL cd384-aisk9 = juniper networks enterprise routing suite COL manufacturer VAL  COL price VAL 3299.99
14,COL title VAL 123456789012 dragonfly graphic design software essential toolkit 50 users download mac spanish COL manufacturer VAL Tech Innovations COL price VAL 299.99
15,COL title VAL 2022-045 advanced surveillance system license 5 additional users COL manufacturer VAL NewTech Innovations COL price VAL 247.89
16,COL title VAL eu065av aba microsoft windows 10 home edition license and media 3 user cto spanish - COL manufacturer VAL  COL price VAL 199.99
17,COL title VAL cd9zpro oracle database enterprise edition v. 19c media usb windows COL manufacturer VAL Oracle COL price VAL 499.99
18,COL title VAL abjkl98-305 gammafax enterprise license 50 users mac COL manufacturer VAL  COL price VAL 899.99
19,COL title VAL 123456789012 dragon mobileasset ultimate edition package with spt 2500 v. 6 pro COL manufacturer VAL Tech Innovations COL price VAL 2999.99
20,COL title VAL wg017450 palo alto networks PA-3220 next-gen firewall software subscription license 3 years + COL manufacturer VAL  COL price VAL 4999.99
21,COL title VAL 22m5001 global publishing for myapp.org extended bundle 2 user dvd spanish COL manufacturer VAL  COL price VAL 299.99
22,COL title VAL 8927403019 advanced data transformation suite license 5 servers windows server COL manufacturer VAL Tech Innovations Inc. COL price VAL 1249.99
23,COL title VAL 49238475ns autodesk sketchbook pro v. 12 media retail item commercial download mac COL manufacturer VAL  COL price VAL 49.99
24,COL title VAL 22206207 mcafee security suite v. 3.5 media dvd mac spanish COL manufacturer VAL  COL price VAL 29.99
25,COL title VAL 12345678 final cut pro x professional software 5 user digital mac c COL manufacturer VAL apple COL price VAL 299.99
26,COL title VAL wg018202 fortigate firewall endpoint security 3 years 5 devices wi COL manufacturer VAL  COL price VAL 1145.99
27,COL title VAL xyz1234q-z789 quantum upgrade service 12x5 quantum sapphire technical assistance expert COL manufacturer VAL Tech Innovations COL price VAL 2450.75
28,COL title VAL 946272819417 hornet hive deluxe suite professional edition multi-user digital download COL manufacturer VAL  COL price VAL 249.99
29,COL title VAL 812-00546 sony gaming handheld 2021 entertainment suite deluxe edition full set 1 COL manufacturer VAL  COL price VAL 49.99
30,COL title VAL 02-abc-1234 fortinet unified threat management subscription license 5 years 75 COL manufacturer VAL  COL price VAL 5299.75
31,COL title VAL buvsag-99999 final cut pro x full edition 5 user mac spanish COL manufacturer VAL  COL price VAL 299.99
32,COL title VAL s72-00010 halo 3 legendary edition 2 users sony playstation 3 blu-ray french COL manufacturer VAL  COL price VAL 59.99
33,COL title VAL adobe creative suite 6 master collection for windows 1 pc dvd ( standard box ) COL manufacturer VAL  COL price VAL 249.99
34,COL title VAL ma123z/b ilife '20 premium package 5 users digital download mac COL manufacturer VAL Apple COL price VAL 99.99
35,COL title VAL s56fs-13345tg = juniper networks advanced routing software v. 20.1 ( 30 ) tg complete solution COL manufacturer VAL something else COL price VAL 8850.99
36,COL title VAL t74-00005 linux ubuntu server 22.04 license 50 additional user cals COL manufacturer VAL  COL price VAL 900.75
37,COL title VAL 987654 adobe indesign 2023 full version 5 user download windows COL manufacturer VAL Adobe COL price VAL 899.99
38,COL title VAL dsv4-usa dsview v. 4 license 20 users 3 hubs mac COL manufacturer VAL  COL price VAL 3199.9
39,COL title VAL 457899-018 dell premium support essentials for vmware vsphere 3 node 5 process COL manufacturer VAL  COL price VAL 2999.99
40,COL title VAL 482356b asus system recovery toolkit (compatible with all devices) v. 5.2 license COL manufacturer VAL  COL price VAL 29.99
