id,content
0,COL title VAL learning quickbooks 2007 COL manufacturer VAL intuit COL price VAL 34.99
1,COL title VAL superstart ! fun with reading & writing ! COL manufacturer VAL  COL price VAL 9.99
2,COL title VAL qb pos 6.0 basic software COL manufacturer VAL intuit COL price VAL 599.99
3,COL title VAL math missions : the amazing arcade adventure ( grades 3-5 ) COL manufacturer VAL  COL price VAL 14.95
4,COL title VAL production prem cs3 mac upgrad COL manufacturer VAL adobe software COL price VAL 799.99
5,COL title VAL video studio 11 plus COL manufacturer VAL corel corporation COL price VAL 99.99
6,COL title VAL edius pro 4 COL manufacturer VAL canopus/grass valley COL price VAL 599.99
7,COL title VAL qb pos 6.0 pro multi store sw COL manufacturer VAL intuit COL price VAL 1099.99
8,COL title VAL qb credit card kit 3.1 COL manufacturer VAL intuit COL price VAL 27.99
9,COL title VAL vegas movie studiodvd +8 plat COL manufacturer VAL sony creative software COL price VAL 89.99
10,COL title VAL qb pos 6.0 pro solution hw/sw COL manufacturer VAL intuit COL price VAL 1499.99
11,COL title VAL ares rising COL manufacturer VAL  COL price VAL 34.95
12,COL title VAL evergirl : pc cd-rom video game COL manufacturer VAL  COL price VAL 12.99
13,COL title VAL cd384-aisk9 = cisco ios advanced ip services complete package cd COL manufacturer VAL  COL price VAL 1999.99
14,COL title VAL 633808063023 wasp bar code fontware complete package 10 users cd win english COL manufacturer VAL  COL price VAL 159.9
15,COL title VAL 0202-034 axis camera station license 1 additional user COL manufacturer VAL  COL price VAL 99.99
16,COL title VAL eu063av aba microsoft windows xp professional license and media 1 user cto english - COL manufacturer VAL  COL price VAL 129.99
17,COL title VAL bb0gyna ibm informix dynamic server enterprise edition v. 9.4 media cd linux COL manufacturer VAL  COL price VAL 199.99
18,COL title VAL eqzfn07-201 zetafax business edition license 5 users win COL manufacturer VAL  COL price VAL 459.99
19,COL title VAL 633808390266 wasp mobileasset professional edition combo pack with spt 1800 v. 6 comp COL manufacturer VAL  COL price VAL 1999.99
20,COL title VAL wg017449 watchguard firebox x5500e utm software suite subscription license 1 year + COL manufacturer VAL  COL price VAL 3699.99
21,COL title VAL 11k2990 international printing for mysap.com complete package 1 client cd englis COL manufacturer VAL  COL price VAL 159.99
22,COL title VAL 5325302018 snap enterprise data replicator license 1 server linux unix win COL manufacturer VAL  COL price VAL 675.50
23,COL title VAL 38039440dm adobe flash cs3 professional v. 9 media tlp tlp nonprofit dvd win COL manufacturer VAL  COL price VAL 19.99
24,COL title VAL 11105106 symantec bindview policy manager v. 1.1 media cd win english COL manufacturer VAL  COL price VAL 16.49
25,COL title VAL 25510587 adobe after effects cs3 professional complete package 1 user dvd win c COL manufacturer VAL  COL price VAL 1099.99
26,COL title VAL wg017127 watchguard gateway antivirus for e-mail maintenance 1 year 2 devices wi COL manufacturer VAL  COL price VAL 751.44
27,COL title VAL did0480p-m311 plasmon additional maintenance 24x7 plasmon diamond technical support consul COL manufacturer VAL  COL price VAL 1599.99
28,COL title VAL 633808035020 wasp nest ccd suite business edition complete package 1 user cd win COL manufacturer VAL  COL price VAL 189.99
29,COL title VAL 711-00072 microsoft entertainment pocketpak 2004 productivity pack complete package 1 COL manufacturer VAL  COL price VAL 34.99
30,COL title VAL 01-ssc-6993 sonicwall client/server anti-virus suite subscription license 3 years 50 COL manufacturer VAL  COL price VAL 3899.99
31,COL title VAL buvsag-00000 ulead videostudio 10 complete package 1 user win english COL manufacturer VAL  COL price VAL 64.99
