id,content
0,COL Beer_Name VAL Mystic River Brew COL Brew_Factory_Name VAL Mystic River Brewing &#40; Massachusetts &#41; COL Style VAL Belgian Tripel COL ABV VAL 10 %
1,COL Beer_Name VAL Stone IPA COL Brew_Factory_Name VAL Stone Brewing COL Style VAL IPA COL ABV VAL 7.2 %
2,COL Beer_Name VAL Hoppy Horizon IPA COL Brew_Factory_Name VAL Craft Mountains Brewing COL Style VAL New England IPA COL ABV VAL 7.20 %
3,COL Beer_Name VAL Mountain Stream Pale Ale COL Brew_Factory_Name VAL Summit Brewing Co. COL Style VAL IPA COL ABV VAL 6.5%
4,COL Beer_Name VAL Moonlit Night Dark Chocolate Stout COL Brew_Factory_Name VAL Shadowed Brew Co. COL Style VAL Porter COL ABV VAL 8.25 %
5,COL Beer_Name VAL Stone Ruination IPA COL Brew_Factory_Name VAL Stone Brewing COL Style VAL IPA COL ABV VAL 7.70 %
6,COL Beer_Name VAL Hops Haven Citrusy IPA COL Brew_Factory_Name VAL Mountain Peak Brewery &#40; Alpine Artisan Brewing Co. &#41; COL Style VAL India Pale Ale COL ABV VAL 6.50 %
7,COL Beer_Name VAL Crystal Lake Hazy IPA COL Brew_Factory_Name VAL Mountain Peak Brewing COL Style VAL Hazy IPA COL ABV VAL 7.20 %
8,COL Beer_Name VAL Phantom Dark Lager COL Brew_Factory_Name VAL The Distillery on Main Street COL Style VAL Dark Lager COL ABV VAL 5.5 %
9,COL Beer_Name VAL Mystic River Brewing Dark Tide Stout COL Brew_Factory_Name VAL Mystic River Brewing COL Style VAL Imperial Stout COL ABV VAL 8.50 %
10,COL Beer_Name VAL Dark Horse Pilsner COL Brew_Factory_Name VAL Dark Horse Brewing Co. COL Style VAL Pilsner COL ABV VAL 6.5 %
11,COL Beer_Name VAL Skagen Craft Brewery Pale Lager COL Brew_Factory_Name VAL Nordkyst Bryghus COL Style VAL Lager COL ABV VAL 4.5 %
12,COL Beer_Name VAL Midnight Stout COL Brew_Factory_Name VAL Black River Brewery COL Style VAL Stout COL ABV VAL 6.50 %
13,COL Beer_Name VAL Dark Forest Stout COL Brew_Factory_Name VAL Midnight Brewing Co. COL Style VAL Oatmeal Stout COL ABV VAL 6.80 %
14,COL Beer_Name VAL Dark Horizon Stout COL Brew_Factory_Name VAL Montaña Negra Brewing Co. COL Style VAL Stout COL ABV VAL 8.50 %
15,COL Beer_Name VAL Midnight Pilsner COL Brew_Factory_Name VAL Starry Night Brewing COL Style VAL Pilsner COL ABV VAL 6.20 %
16,COL Beer_Name VAL Southern Cascade Gold Lager COL Brew_Factory_Name VAL Southern Straits Brewery COL Style VAL Pilsner COL ABV VAL 6.20 %
17,COL Beer_Name VAL Dark Knight Stout COL Brew_Factory_Name VAL Black Dragon Brewing Co. COL Style VAL Stout COL ABV VAL 7.50 %
18,COL Beer_Name VAL Cascade Summit IPA COL Brew_Factory_Name VAL High Cascade Brewing Co. COL Style VAL India Pale Ale COL ABV VAL 7.20 %
19,COL Beer_Name VAL Stone Brewing Arrogant Bastard COL Brew_Factory_Name VAL Stone Brewing Co. COL Style VAL American Ale COL ABV VAL 7.20 %
20,COL Beer_Name VAL Mountain Peak Stout COL Brew_Factory_Name VAL Summit Brewing Co. COL Style VAL Imperial Stout COL ABV VAL 8 %
21,COL Beer_Name VAL Blue Mountain Lager COL Brew_Factory_Name VAL High Peak Brewery COL Style VAL Pilsner COL ABV VAL 5.00 %
22,COL Beer_Name VAL Sierra Nevada Hazy Little Thing IPA COL Brew_Factory_Name VAL Sierra Nevada Brewing Co. COL Style VAL IPA COL ABV VAL 6.70 %
23,COL Beer_Name VAL Mystic Forest Brew COL Brew_Factory_Name VAL Enchanted Valley Brewery COL Style VAL Belgian Witbier COL ABV VAL 8.5 %
24,COL Beer_Name VAL Maplewood Midnight Stout COL Brew_Factory_Name VAL Maplewood Brewing &#40; ON &#41; COL Style VAL Russian Imperial Stout COL ABV VAL 8.50 %
25,COL Beer_Name VAL Rogue Dead Guy Ale COL Brew_Factory_Name VAL Rogue Ales COL Style VAL Amber Ale COL ABV VAL 6.80 %
26,COL Beer_Name VAL Golden Phoenix Black Knight COL Brew_Factory_Name VAL Crimson Dragon Brewing Co. COL Style VAL Stout COL ABV VAL 8.50 %
27,COL Beer_Name VAL Lost Coast Tangerine Wheat COL Brew_Factory_Name VAL Lost Coast Brewery COL Style VAL Wheat Ale COL ABV VAL 4.50 %
28,COL Beer_Name VAL Cosmic Odyssey COL Brew_Factory_Name VAL Stellar Brewing Co. COL Style VAL IPA COL ABV VAL 7.50 %
29,COL Beer_Name VAL Stone IPA COL Brew_Factory_Name VAL Dogfish Head Craft Brewery COL Style VAL IPA COL ABV VAL 6.50 %
30,COL Beer_Name VAL Midnight Owl COL Brew_Factory_Name VAL Lunar Brewing Co. COL Style VAL American IPA COL ABV VAL 5.80 %
31,COL Beer_Name VAL Mountain Peak IPA COL Brew_Factory_Name VAL Summit Brewing Co. COL Style VAL India Pale Ale COL ABV VAL 6.5%
32,COL Beer_Name VAL Smokin' Gun Chili Stout COL Brew_Factory_Name VAL Inferno Brewing Co. COL Style VAL Stout/Porter COL ABV VAL 10 %
33,COL Beer_Name VAL Mountain Peak IPA COL Brew_Factory_Name VAL Summit Brewing Co. COL Style VAL India Pale Ale COL ABV VAL 7.80 %
34,COL Beer_Name VAL West Coast IPA COL Brew_Factory_Name VAL Pacific Brewing Co. COL Style VAL IPA COL ABV VAL 6.50 %
35,COL Beer_Name VAL Citra Blonde COL Brew_Factory_Name VAL Coastal Brewing Co. COL Style VAL Blonde Ale COL ABV VAL 4.50 %
36,COL Beer_Name VAL Emerald Phoenix Stout COL Brew_Factory_Name VAL Phoenix Brewing Guild COL Style VAL Stout COL ABV VAL 8.50 %
37,COL Beer_Name VAL Dark Horse Bourbon Barrel Stout COL Brew_Factory_Name VAL Dark Horse Brewing Co. COL Style VAL Stout COL ABV VAL 9.50 %
38,COL Beer_Name VAL Thunder Valley IPA COL Brew_Factory_Name VAL Mountain Peak Brewing COL Style VAL India Pale Ale COL ABV VAL 7.5 %
39,COL Beer_Name VAL Cosmic Explorer IPA COL Brew_Factory_Name VAL Galactic Brewing Co. COL Style VAL New England IPA COL ABV VAL 7.00 %
40,COL Beer_Name VAL Golden Phoenix Brew COL Brew_Factory_Name VAL Golden River Brewing Co. COL Style VAL IPA COL ABV VAL 7.20 %
41,COL Beer_Name VAL Mountain Peak Golden Lager COL Brew_Factory_Name VAL Summit Brewing Co. COL Style VAL Lager COL ABV VAL 6.50 %
42,COL Beer_Name VAL Mystic River Hazy Sunrise IPA COL Brew_Factory_Name VAL Mystic River Brewing Co. COL Style VAL New England IPA COL ABV VAL 7.5 %
43,COL Beer_Name VAL Thunderous Stout COL Brew_Factory_Name VAL Black River Brewery COL Style VAL Stout COL ABV VAL 8.50 %
44,COL Beer_Name VAL Mystic Falls Dark Whisper Ale COL Brew_Factory_Name VAL Mystic Falls Brewery COL Style VAL Stout COL ABV VAL 8.5 %
45,COL Beer_Name VAL Solar Flare Pale Ale COL Brew_Factory_Name VAL Starlight Brewery COL Style VAL American Pale Ale COL ABV VAL 5.00 %
46,COL Beer_Name VAL Forest Trail Amber Ale COL Brew_Factory_Name VAL Mountain Peak Brewing Co. COL Style VAL IPA COL ABV VAL 6.5%
47,COL Beer_Name VAL Trappist Rochefort COL Brew_Factory_Name VAL Rochefort Brewery COL Style VAL Dark Ale COL ABV VAL 9.20 %
48,COL Beer_Name VAL Mystic Black Lager COL Brew_Factory_Name VAL Mystic Brewing Co. COL Style VAL Black Lager COL ABV VAL 7 %
49,COL Beer_Name VAL Ocean Drift COL Brew_Factory_Name VAL Horizon Brews COL Style VAL IPA COL ABV VAL 6.5 %
50,COL Beer_Name VAL Thunderstorm Lager COL Brew_Factory_Name VAL Mountain Peak Brewing Co. COL Style VAL Pilsner COL ABV VAL 5.00 %
51,COL Beer_Name VAL Tropical Sunrise IPA &#40; -2022 &#41; COL Brew_Factory_Name VAL Oceanic Brews &#40; Tidal Wave Brewing &#41; COL Style VAL New England IPA COL ABV VAL 6.5
52,COL Beer_Name VAL Flamingo Tropical Sunrise Ale COL Brew_Factory_Name VAL Ocean View Brewing COL Style VAL IPA COL ABV VAL 7.50 %
53,COL Beer_Name VAL Mystic Forest Amber Ale COL Brew_Factory_Name VAL Enchanted Brewery COL Style VAL Amber Ale COL ABV VAL 6.50 %
54,COL Beer_Name VAL 42 Mountain Brewery Stout &#40; # 2 &#38405; &#29617; &#31038; &#33406; &#29246; &#41; COL Brew_Factory_Name VAL 42 Mountain Brewery COL Style VAL Russian Imperial Stout COL ABV VAL 8.75 %
55,COL Beer_Name VAL Whispering Pines Dark Forest COL Brew_Factory_Name VAL Stormbreaker Brewing Co. COL Style VAL Stout COL ABV VAL 8 %
56,COL Beer_Name VAL Stone Tangerine Express IPA COL Brew_Factory_Name VAL Stone Brewing COL Style VAL American IPA COL ABV VAL 6.7 %
57,COL Beer_Name VAL Dogfish Head 90 Minute IPA COL Brew_Factory_Name VAL Dogfish Head Craft Brewery COL Style VAL India Pale Ale COL ABV VAL 9.00 %
58,COL Beer_Name VAL Darkwave Velvet Dream COL Brew_Factory_Name VAL Mystic River Brewing COL Style VAL Stout COL ABV VAL 8.50 %
59,COL Beer_Name VAL Urban Oasis Citrus Burst COL Brew_Factory_Name VAL Horizon Brewing Co. COL Style VAL Hazy New England IPA COL ABV VAL 5.5 %
60,COL Beer_Name VAL Ocean Breeze IPA COL Brew_Factory_Name VAL Coastal Waves Brewery COL Style VAL IPA COL ABV VAL 7.50 %
61,COL Beer_Name VAL Mystic River IPA  COL Brew_Factory_Name VAL Mountain Craft Brewery  COL Style VAL India Pale Ale  COL ABV VAL 7.50 %
62,COL Beer_Name VAL Urban Hops Lager COL Brew_Factory_Name VAL City Lights Brewing COL Style VAL Lager COL ABV VAL 4.80 %
63,COL Beer_Name VAL Galaxy Hazy IPA COL Brew_Factory_Name VAL Cosmic Craft Brewers COL Style VAL New England IPA COL ABV VAL 6.5 %
64,COL Beer_Name VAL Thunder Ridge Tropical IPA COL Brew_Factory_Name VAL Mountain Peak Brewing COL Style VAL New England IPA COL ABV VAL 6.50 %
65,COL Beer_Name VAL Mystic River Dark Forest COL Brew_Factory_Name VAL Enchanted Brews COL Style VAL Stout COL ABV VAL 7.5%
66,COL Beer_Name VAL New Wave Citrus Ale COL Brew_Factory_Name VAL Fresh Horizon Brewing Co COL Style VAL IPA COL ABV VAL 7.20 %
67,COL Beer_Name VAL Golden Sunlight Lager COL Brew_Factory_Name VAL Silver Creek Brewing Co. COL Style VAL German Hefeweizen COL ABV VAL 5.5%
68,COL Beer_Name VAL Shadow Stout COL Brew_Factory_Name VAL Mystic Brewing COL Style VAL Imperial Stout COL ABV VAL 8 %
69,COL Beer_Name VAL Gumballhead COL Brew_Factory_Name VAL 3 Floyds Brewing Co. COL Style VAL American Pale Ale COL ABV VAL 5.60 %
70,COL Beer_Name VAL Mountain Peak 76 IPA COL Brew_Factory_Name VAL Summit Brewing Co. COL Style VAL India Pale Ale COL ABV VAL 6.5%
71,COL Beer_Name VAL Wild River Forest IPA COL Brew_Factory_Name VAL Cascade Mountain Brews COL Style VAL India Pale Ale COL ABV VAL 7.5 %
72,COL Beer_Name VAL Cosmic Horizon IPA COL Brew_Factory_Name VAL Celestial Brew Co. COL Style VAL India Pale Ale COL ABV VAL 7.50 %
73,COL Beer_Name VAL Dark Horse Imperial Stout COL Brew_Factory_Name VAL Founders Brewing Co. COL Style VAL Russian Imperial Stout COL ABV VAL 10.50 %
74,COL Beer_Name VAL Rogue Dead Guy Ale COL Brew_Factory_Name VAL Rogue Ales COL Style VAL German Hefeweizen COL ABV VAL 6.50 %
75,COL Beer_Name VAL Thunderstorm Cascade IPA COL Brew_Factory_Name VAL Stormfront Brewing Co COL Style VAL India Pale Ale COL ABV VAL 7.50 %
