id,content
0,COL Beer_Name VAL Great Lakes Nosferatu COL Brew_Factory_Name VAL Great Lakes Brewing &#40; Ohio &#41; COL Style VAL American Strong Ale COL ABV VAL 8.5 %
1,COL Beer_Name VAL 4 Hands Reprise Centennial Red Ale COL Brew_Factory_Name VAL 4 Hands Brewing Company COL Style VAL Amber Ale COL ABV VAL 6.5 %
2,COL Beer_Name VAL 10 Barrel Backdraft IPA COL Brew_Factory_Name VAL 10 Barrel Brewing &#40; AB InBev &#41; COL Style VAL India Pale Ale &#40; IPA &#41; COL ABV VAL 6.75 %
3,COL Beer_Name VAL Gore Range Fly Fisher Red Ale COL Brew_Factory_Name VAL Gore Range Brewery COL Style VAL Amber Ale COL ABV VAL 5.2%
4,COL Beer_Name VAL Naked Dove Nice & Naughty Christmas Ale COL Brew_Factory_Name VAL Naked Dove Brewing COL Style VAL Stout COL ABV VAL 5.75 %
5,COL Beer_Name VAL 10 Barrel Amber Sunset Waves COL Brew_Factory_Name VAL 10 Barrel Brewing &#40; AB InBev &#41; COL Style VAL Amber Ale COL ABV VAL 5.80 %
6,COL Beer_Name VAL Barley Station Bushwacker Brown COL Brew_Factory_Name VAL Barley Station Brewpub &#40; Shuswap Lake Brewing Co. &#41; COL Style VAL Brown Ale COL ABV VAL 4.80 %
7,COL Beer_Name VAL Blackfoot River MacKenzie River Driftboat Amber COL Brew_Factory_Name VAL Blackfoot River Brewing COL Style VAL Amber Ale COL ABV VAL 5.75 %
8,COL Beer_Name VAL Brewerie Apparition Amber Ale COL Brew_Factory_Name VAL The Brewerie at Union Station COL Style VAL Amber Ale COL ABV VAL 7.5 %
9,COL Beer_Name VAL Battlefield Brew Works Red Circle Ale COL Brew_Factory_Name VAL Battlefield Brew Works COL Style VAL Irish Ale COL ABV VAL 5.50 %
10,COL Beer_Name VAL 3 Sheeps Rebel Kent The First - Red Wine Barrel COL Brew_Factory_Name VAL 3 Sheeps Brewing Company COL Style VAL Belgian Ale COL ABV VAL 5.5 %
11,COL Beer_Name VAL Esbjerg Mikrobryg Amber Ale COL Brew_Factory_Name VAL _ lgod Bryghus COL Style VAL Amber Ale COL ABV VAL 5.5 %
12,COL Beer_Name VAL Red Duck Amber Ale COL Brew_Factory_Name VAL Purrumbete Brewing COL Style VAL Amber Ale COL ABV VAL 4.90 %
13,COL Beer_Name VAL Big Rig Rideau Red COL Brew_Factory_Name VAL Big Rig Brewery COL Style VAL Amber Ale COL ABV VAL 5.50 %
14,COL Beer_Name VAL Quimera Amber Ale COL Brew_Factory_Name VAL Casa Cervecera Quinta Normal COL Style VAL Amber Ale COL ABV VAL 5.80 %
15,COL Beer_Name VAL People_s Aberrant Amber COL Brew_Factory_Name VAL People_s Brewing Company COL Style VAL Amber Ale COL ABV VAL 5.75 %
16,COL Beer_Name VAL Northwest Chinook Copper Ale COL Brew_Factory_Name VAL Northwest Brewing Company COL Style VAL Amber Ale COL ABV VAL 5.40 %
17,COL Beer_Name VAL 11 Below Oso Bueno Amber Ale COL Brew_Factory_Name VAL 11 Below Brewing Company COL Style VAL Amber Ale COL ABV VAL 5.50 %
18,COL Beer_Name VAL Mt. Shasta Abner Weed Amber Ale COL Brew_Factory_Name VAL Mt. Shasta Brewing Company COL Style VAL Amber Ale COL ABV VAL 5.80 %
19,COL Beer_Name VAL Burley Oak Assawoman Amber COL Brew_Factory_Name VAL Burley Oak Brewing Company COL Style VAL Amber Ale COL ABV VAL 7.00 %
20,COL Beer_Name VAL Catawba Valley Indian Head Red COL Brew_Factory_Name VAL Catawba Valley Brewing Company COL Style VAL Amber Ale COL ABV VAL 5.5 %
21,COL Beer_Name VAL Grayton Beer 1890 Founder_s Ale COL Brew_Factory_Name VAL Grayton Beer COL Style VAL Amber Ale COL ABV VAL 6.50 %
22,COL Beer_Name VAL Fulton The Libertine Imperial Red Ale - Heaven Hill Bourbon Barrel Aged COL Brew_Factory_Name VAL Fulton Beer Company COL Style VAL American Strong Ale COL ABV VAL 8.50 %
23,COL Beer_Name VAL Sherwood Mistress Jades Hemp Ale COL Brew_Factory_Name VAL Sherwood Brewing Company COL Style VAL American Pale Ale COL ABV VAL 5.8 %
24,COL Beer_Name VAL Cumberland Red Tape Pale Ale COL Brew_Factory_Name VAL Cumberland Brewing &#40; BC &#41; COL Style VAL American Pale Ale COL ABV VAL 5.70 %
25,COL Beer_Name VAL Birrificio CitaBiunda Cinnamon Girl COL Brew_Factory_Name VAL Birrificio CitaBiunda COL Style VAL Premium Bitter/ESB COL ABV VAL 5.80 %
26,COL Beer_Name VAL Blue Elephant Red Devil COL Brew_Factory_Name VAL Blue Elephant Craft Brew House COL Style VAL Amber Ale COL ABV VAL 5.30 %
27,COL Beer_Name VAL Fairhope I Drink Therefore I Amber COL Brew_Factory_Name VAL Fairhope Brewing Company COL Style VAL Amber Ale COL ABV VAL 6.00 %
28,COL Beer_Name VAL Revolution Battle of Wil_s COL Brew_Factory_Name VAL Revolution Brewing Company COL Style VAL Amber Ale COL ABV VAL 5.50 %
29,COL Beer_Name VAL MacTarnahans Amber Ale &#40; Macs Ale &#41; COL Brew_Factory_Name VAL Portland Brewing Company &#40; Pyramid - North American Breweries &#41; COL Style VAL Amber Ale COL ABV VAL 5.50 %
30,COL Beer_Name VAL Beryl_s Firecatcher COL Brew_Factory_Name VAL Beryl_s Beer Company COL Style VAL Foreign Stout COL ABV VAL 7.20 %
31,COL Beer_Name VAL Back Street Rita Red Ale COL Brew_Factory_Name VAL Back Street Brewery COL Style VAL Amber Ale COL ABV VAL 5.5%
32,COL Beer_Name VAL Exile Chill Clinton Double Hemp Amber Ale COL Brew_Factory_Name VAL Exile Brewing Company COL Style VAL Spice/Herb/Vegetable COL ABV VAL 7.5 %
33,COL Beer_Name VAL Backwoods Big Cedar I.P.A COL Brew_Factory_Name VAL Backwoods Brewing Company COL Style VAL Amber Ale COL ABV VAL 6.75 %
34,COL Beer_Name VAL Durham Red Dragon COL Brew_Factory_Name VAL County Durham Brewing COL Style VAL Amber Ale COL ABV VAL 4.80 %
35,COL Beer_Name VAL Palmetto Amber Ale COL Brew_Factory_Name VAL Palmetto Brewing Company COL Style VAL Amber Ale COL ABV VAL 5.50 %
36,COL Beer_Name VAL Constantine Red Rooster Irish Ale COL Brew_Factory_Name VAL Constantine Brewing Company COL Style VAL Irish Ale COL ABV VAL 6.50 %
37,COL Beer_Name VAL Sawdust City Red Rocket Coffee Spiced Stout COL Brew_Factory_Name VAL Sawdust City Brewing Company COL Style VAL Spice/Herb/Vegetable COL ABV VAL 5.30 %
38,COL Beer_Name VAL Big Bear Mountain Red Ant Hill Red Ale COL Brew_Factory_Name VAL Big Bear Mountain Brewery COL Style VAL Amber Ale COL ABV VAL 5.5 %
39,COL Beer_Name VAL Veterans United Scout Dog 44 COL Brew_Factory_Name VAL Veterans United Craft Brewery COL Style VAL Amber Ale COL ABV VAL 5.50 %
40,COL Beer_Name VAL Black Lotus Red Tao COL Brew_Factory_Name VAL Black Lotus Brewing Company COL Style VAL Amber Lager/Vienna COL ABV VAL 5.80 %
41,COL Beer_Name VAL Out of Bounds Rusted Butte Red Ale COL Brew_Factory_Name VAL Out of Bounds Brewing Company COL Style VAL Amber Ale COL ABV VAL 5.90 %
42,COL Beer_Name VAL Persimmon Hollow Paddle Wheeler Red Ale COL Brew_Factory_Name VAL Persimmon Hollow Brewing Company COL Style VAL Amber Ale COL ABV VAL 6.5 %
43,COL Beer_Name VAL Chy_e Sierra Amber Ale COL Brew_Factory_Name VAL Zamecky Pivovar Chy_e COL Style VAL Amber Ale COL ABV VAL 5.50 %
44,COL Beer_Name VAL Rock Art Stowe Mountain Lodge Hourglass Ale COL Brew_Factory_Name VAL Rock Art Brewery COL Style VAL Amber Ale COL ABV VAL 6.5 %
45,COL Beer_Name VAL Motorworks Roll Cage Red Ale COL Brew_Factory_Name VAL Motorworks Brewing COL Style VAL Irish Ale COL ABV VAL 6.75 %
46,COL Beer_Name VAL Back Yard Rainmaker Ale COL Brew_Factory_Name VAL Back Yard Brewing Company COL Style VAL Smoked COL ABV VAL 5.5%
47,COL Beer_Name VAL Abbeydale Absolution COL Brew_Factory_Name VAL Abbeydale COL Style VAL Golden Ale/Blond Ale COL ABV VAL 5.50 %
48,COL Beer_Name VAL Argilla Amber Ale COL Brew_Factory_Name VAL Argilla Brewing Company COL Style VAL Amber Ale COL ABV VAL 5.5 %
49,COL Beer_Name VAL Bays Topsail COL Brew_Factory_Name VAL Bays COL Style VAL Bitter COL ABV VAL 4.5 %
50,COL Beer_Name VAL Cannonball Creek Victorville Red COL Brew_Factory_Name VAL Cannonball Creek Brewing Company COL Style VAL Amber Ale COL ABV VAL 7.50 %
51,COL Beer_Name VAL RJ King Wingwalker Winter Brew &#40; -2008 &#41; COL Brew_Factory_Name VAL City Brewery &#40; Melanie Brewing Co &#41; COL Style VAL Amber Ale COL ABV VAL -
52,COL Beer_Name VAL Breakside Mocha Salted Caramel Stout COL Brew_Factory_Name VAL Breakside Brewery COL Style VAL Sweet Stout COL ABV VAL 7.00 %
