id,content
0,COL title VAL koss eq50 3-band stereo equalizer COL category VAL headphone accessories COL brand VAL koss COL modelno VAL 152132 COL price VAL 13.50
1,COL title VAL kodak black ink cartridge 10b 1163641 COL category VAL inkjet printer ink COL brand VAL kodak COL modelno VAL 1163641 COL price VAL 11.49
2,COL title VAL kingston 128mx64 pc2700 compaq evo d320 ktc-d320 1g COL category VAL computers accessories COL brand VAL kingston COL modelno VAL ktc-d320 / 1g COL price VAL 34.99
3,COL title VAL kinamax ms-ues2 mini high precision usb 3-button 3d optical scroll wheel mouse with retractable cable black COL category VAL mice COL brand VAL kinamax COL modelno VAL ms-ues2 COL price VAL 7.49
4,COL title VAL kensington k72349us wireless mouse for netbooks COL category VAL mice COL brand VAL kensington COL modelno VAL k72349us COL price VAL 22.99
5,COL title VAL kensington blackbelt protection band for ipad 2 k39324us COL category VAL cases sleeves COL brand VAL kensington COL modelno VAL k39324us COL price VAL 24.99
6,COL title VAL just5 j509 easy to use unlocked cell phone with big buttons amplified sound personal emergency response system black COL category VAL unlocked phones COL brand VAL just5 COL modelno VAL j509black COL price VAL 59.99
7,COL title VAL imation corp 50pk cdr 700mb 80min 52x-spindle 17301 COL category VAL cd-r discs COL brand VAL imation COL modelno VAL 17301 COL price VAL 9.99
8,COL title VAL 16x dvd-r media COL category VAL dvd-r discs COL brand VAL imation COL modelno VAL 17340 COL price VAL 7.49
9,COL title VAL igo arctic laptop cooling pad ac05065-0001 COL category VAL cleaning repair COL brand VAL igo COL modelno VAL ac05065-0001 COL price VAL 34.99
10,COL title VAL hp touchpad custom fit case COL category VAL laptop netbook computer accessories COL brand VAL hp COL modelno VAL fb343aa #ac3 COL price VAL 27.99
11,COL title VAL hp laserjet pro p1606dn printer ce749a bgj COL category VAL laser printers COL brand VAL hp COL modelno VAL ce749a #bgj COL price VAL 139.99
12,COL title VAL hp 85a laserjet black toner print cartridge - retail packaging ce285a COL category VAL laser printer toner COL brand VAL hp COL modelno VAL ce285a COL price VAL 49.99
13,COL title VAL hp - envelope feeder - 75 sheets COL category VAL printers COL brand VAL hp COL modelno VAL cb524a COL price VAL 259.99
14,COL title VAL hawking hi-gain outdoor wireless-300n dual radio smart repeater COL category VAL wireless access points COL brand VAL hawking technology COL modelno VAL how2r1 COL price VAL 289.99
15,COL title VAL griffin technology powerjolt se 2 amp power charger for ipad iphone and ipod black COL category VAL chargers adapters COL brand VAL griffin technology COL modelno VAL gc23090 COL price VAL 15.99
16,COL title VAL goldtouch usb numeric keypad hub - keypad - usb - 22 keys - white COL category VAL access-control keypads COL brand VAL goldtouch COL modelno VAL gtc-0033 COL price VAL 39.99
17,COL title VAL garmin oregon 450t handheld gps navigator COL category VAL handheld gps COL brand VAL garmin COL modelno VAL 010-00697-41 COL price VAL 379.99
18,COL title VAL fujitsu scansnap s1500m instant pdf sheet-fed scanner for the macintosh COL category VAL scanners COL brand VAL fujitsu COL modelno VAL pa03586-b105 COL price VAL 399.99
19,COL title VAL slim folding multi-position tablet stand for galaxy tab motorola xoom asus eee pad transformer and many other tablets includes micro usb cable COL category VAL touch screen tablet accessories COL brand VAL accessory genie COL modelno VAL  COL price VAL 15.99
20,COL title VAL energizer max alkaline batteries COL category VAL d COL brand VAL energizer COL modelno VAL e95fp-8 COL price VAL 15.99
21,COL title VAL emerge tech retractable usb cable for ipod white COL category VAL mp3 player accessories COL brand VAL emerge tech COL modelno VAL etipodusb COL price VAL 5.49
22,COL title VAL ematic 10 in 1 premium accessory kit for ipod touch 3rd gen newest model COL category VAL mp3 player accessories COL brand VAL xo vision COL modelno VAL ei026gp COL price VAL 21.99
23,COL title VAL edge sd gaming cards - flash memory card - 1 gb - 130x - sd COL category VAL computer components COL brand VAL edge COL modelno VAL sd gaming cards COL price VAL 10.0
24,COL title VAL edge - memory - 16 gb 2 x 8 gb - dimm 240-pin - ddr2 - 667 mhz pc2-5300 - registered - ecc COL category VAL audio video accessories COL brand VAL edge COL modelno VAL x5290a-z-pe COL price VAL 599.99
