id,content
0,COL title VAL sony wh-1000xm4 wireless noise-cancelling headphones COL category VAL audio equipment COL brand VAL sony COL modelno VAL xm4-2022 COL price VAL 349.99
1,COL title VAL hp color laser toner cartridge 124A 605A COL category VAL laser printer toner COL brand VAL hp COL modelno VAL 605A COL price VAL 49.99
2,COL title VAL crucial 256mx64 pc2100 dell latitude d600 cts-d600 2g 45.00 COL category VAL electronics peripherals COL brand VAL crucial COL modelno VAL cts-d600 / 2g COL price VAL
3,COL title VAL logitech g502 hero high performance gaming mouse with customizable rgb lighting and ultra-fast scrolling silver logitech g502 COL category VAL gaming mice COL brand VAL Logitech COL modelno VAL G502 HERO COL price VAL 49.99
4,COL title VAL logitech m510 wireless mouse for laptops k51001 30.0 COL category VAL  COL brand VAL logitech COL modelno VAL  COL price VAL
5,COL title VAL urban armor gear protective case for ipad 10.2 k12345us urban armor k12345us COL category VAL tablet covers COL brand VAL urban armor gear COL modelno VAL UAG-IPAD10 COL price VAL 45.99
6,COL title VAL premiumSmart R8 pro advanced user-friendly smartphone with adaptive screen high-definition audio safety alert system silver unlocked devices 149.99 COL category VAL  COL brand VAL premiumSmart COL modelno VAL R8proSilver COL price VAL
7,COL title VAL maxell 100pk dvd-r 4.7gb 16x-spindle 35402 dvd-r discs COL category VAL electronics COL brand VAL maxell COL modelno VAL 35402 COL price VAL 25.99
8,COL title VAL 32x blu-ray media COL category VAL blu-ray discs COL brand VAL sony COL modelno VAL 48765 COL price VAL 19.99
9,COL title VAL advanced ergonomic laptop stand pro2001-xyz COL category VAL office furniture COL brand VAL TechComfort COL modelno VAL pro2001-xyz COL price VAL 59.99
10,COL title VAL asus zenbook ultra-slim laptop case portable accessories ab987xy #z12 45.99 COL category VAL  COL brand VAL asus COL modelno VAL  COL price VAL
11,COL title VAL canon imageCLASS LBP6030w printer 1125C002 bgj laser printers canon 1125C002 #bgj COL category VAL  COL brand VAL  COL modelno VAL  COL price VAL 89.99
12,COL title VAL hp 90a laserjet color toner cartridge - bulk packaging ce260a hp ce260a COL category VAL color printer toner COL brand VAL HP COL modelno VAL  COL price VAL
13,COL title VAL canon - all-in-one printer - 150 sheets printers 499.99 COL category VAL  COL brand VAL canon COL modelno VAL mx922 COL price VAL
14,COL title VAL tplink long-range indoor wireless-450n single band extender how2r2 COL category VAL network routers COL brand VAL tplink COL modelno VAL  COL price VAL 150.75
15,COL title VAL raven electronics powerflux ultra 3 amp fast charger for android tablets smartphones silver chargers adapters raven electronics 29.99 COL category VAL  COL brand VAL  COL modelno VAL rc45012 COL price VAL
